month,price,days_in_month
Jan-14,8.87,31
Feb-14,7.86,28
Mar-14,7.11,31
Apr-14,6.91,30
May-14,6.68,31
Jun-14,6.69,30
Jul-14,6.78,31
Aug-14,6.61,31
Sep-14,7.17,30
Oct-14,7.68,31
Nov-14,8.26,30
Dec-14,8.92,31
Jan-15,8.58,31
Feb-15,7.16,28
Mar-15,6.97,31
Apr-15,6.78,30
May-15,6.97,31
Jun-15,6.96,30
Jul-15,6.6,31
Aug-15,6.81,31
Sep-15,7.86,30
Oct-15,9.01,31
Nov-15,8.61,30
Dec-15,9.12,31
Jan-16,8.72,31
Feb-16,7.09,29
Mar-16,6.19,31
Apr-16,7.13,30
May-16,8.16,31
Jun-16,6.52,30
Jul-16,6.17,31
Aug-16,6.17,31
Sep-16,6.44,30
Oct-16,7.53,31
Nov-16,7.56,30
Dec-16,7.63,31
Jan-17,7.14,31
Feb-17,6.38,28
Mar-17,6.09,31
Apr-17,6.24,30
May-17,6.43,31
Jun-17,6.59,30
Jul-17,7.01,31
Aug-17,7.05,31
Sep-17,7.19,30
Oct-17,7.71,31
Nov-17,7.96,30
Dec-17,8.38,31
Jan-18,8.44,31
Feb-18,7.48,28
Mar-18,7.27,31
Apr-18,7.35,30
May-18,6.91,31
Jun-18,6.3,30
Jul-18,5.8,31
Aug-18,5.84,31
Sep-18,5.7,30
Oct-18,6.67,31
Nov-18,6.9,30
Dec-18,6.56,31
Jan-19,6.99,31
Feb-19,5.83,28
Mar-19,5.94,31
Apr-19,6.15,30
May-19,6.12,31
Jun-19,6.08,30
Jul-19,6.29,31
Aug-19,5.51,31
Sep-19,6.45,30
Oct-19,6.89,31
Nov-19,6.77,30
Dec-19,7.67,31
Jan-20,7.67,31
Feb-20,6.89,29
Mar-20,7.22,31
Apr-20,7.35,30
May-20,7.38,31
Jun-20,7.84,30
Jul-20,7.65,31
Aug-20,7.71,31
Sep-20,8.24,30
Oct-20,8.86,31
Nov-20,7.65,30
Dec-20,7.5,31